Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.0	2015-03-02 08:17:50
Ute oppe	humidity	98	2015-03-02 08:17:50
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.0	2015-03-02 08:17:50
Ute oppe	humidity	98	2015-03-02 08:17:50
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.1	2015-03-02 08:28:14
Ute oppe	humidity	98	2015-03-02 08:28:14
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.1	2015-03-02 08:28:14
Ute oppe	humidity	98	2015-03-02 08:28:14
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.1	2015-03-02 08:28:14
Ute oppe	humidity	98	2015-03-02 08:28:14
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.1	2015-03-02 08:28:14
Ute oppe	humidity	98	2015-03-02 08:28:14
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.1	2015-03-02 08:28:14
Ute oppe	humidity	98	2015-03-02 08:28:14
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.1	2015-03-02 08:28:14
Ute oppe	humidity	98	2015-03-02 08:28:14
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.1	2015-03-02 08:28:14
Ute oppe	humidity	98	2015-03-02 08:28:14
Ute	temp	1.2	2015-03-02 08:27:40
Ute oppe	temp	2.1	2015-03-02 08:28:14
Ute oppe	humidity	98	2015-03-02 08:28:14
Ute	temp	1.3	2015-03-02 08:38:05
Ute oppe	temp	2.2	2015-03-02 08:38:38
Ute oppe	humidity	98	2015-03-02 08:38:38
Ute	temp	1.6	2015-03-02 08:48:28
Ute oppe	temp	2.3	2015-03-02 08:49:02
Ute oppe	humidity	98	2015-03-02 08:49:02
Ute	temp	1.4	2015-03-02 08:58:52
Ute oppe	temp	2.4	2015-03-02 08:59:26
Ute oppe	humidity	98	2015-03-02 08:59:26
Ute	temp	1.6	2015-03-02 09:09:17
Ute oppe	temp	2.4	2015-03-02 09:09:50
Ute oppe	humidity	98	2015-03-02 09:09:50
Ute	temp	1.7	2015-03-02 09:19:40
Ute oppe	temp	2.7	2015-03-02 09:20:14
Ute oppe	humidity	98	2015-03-02 09:20:14
Ute	temp	1.9	2015-03-02 09:30:04
